T [s];X_acc [G];Y_acc [G];Z_acc [G];HX_acc [G];Pressure [Pa];Kalman pressure [Pa];Temperature [C];Vaxis [m/s];AltitudeFromPressure [m];AltitudeFromAcc [m];State;VelocityPressure [m/s];ParachuteFailureSenseCnt
1,34;4,50919793966152;-0,0235467255334805;-0,0235467255334805;4,3969465648855;99554;99577;3,4;14;1,2;3,4;2;8,5;0;
1,35;4,532744665195;0,047093451066961;-0,0588668138337013;4,3969465648855;99565;99575;3,4;14,3;1,3;3,6;2;5,5;0;
1,36;4,56806475349522;-0,0824135393671818;-0,0824135393671818;4,3969465648855;99569;99574;3,4;14,7;1,3;3,7;2;4,3;0;
1,37;4,72111846946284;-0,0588668138337013;-0,0824135393671818;4,6412213740458;99586;99574;3,4;15;1,3;3,9;2;-0,1;0;
1,38;4,66225165562914;0,0235467255334805;-0,129506990434143;4,6412213740458;99574;99574;3,7;15,4;1,3;4;2;2,9;0;
1,39;4,7093451066961;-0,0235467255334805;-0,0588668138337013;4,6412213740458;99534;99571;3,4;15,8;1,5;4,2;2;12,9;0;
1,4;4,74466519499632;0;-0,094186902133922;4,6412213740458;99548;99570;3,7;16,1;1,6;4,3;2;9;0;
1,41;4,75643855776306;0,0235467255334805;-0,129506990434143;4,6412213740458;99565;99569;3,7;16,5;1,6;4,5;2;4,4;0;
1,42;4,86239882266372;-0,0117733627667403;-0,117733627667403;4,6412213740458;99526;99566;3,7;16,9;1,7;4,6;2;14,2;0;
1,43;4,85062545989698;0,0235467255334805;-0,094186902133922;4,6412213740458;99547;99564;3,7;17,3;1,8;4,8;2;8,4;0;
1,44;4,89771891096394;0;-0,047093451066961;4,6412213740458;99549;99563;3,4;17,7;1,9;5;2;7,7;0;
1,45;4,93303899926416;-0,0117733627667403;-0,047093451066961;4,88549618320611;99556;99562;3,4;18;2;5,2;2;5,7;0;
1,46;4,95658572479764;-0,0353200883002208;-0,0706401766004415;4,88549618320611;99536;99560;3,7;18,4;2,1;5,3;2;10,5;0;
1,47;5,02722590139809;-0,0117733627667403;-0,0588668138337013;4,88549618320611;99536;99558;3,4;18,8;2,2;5,5;2;10,2;0;
1,48;4,95658572479764;-0,0117733627667403;-0,0588668138337013;4,88549618320611;99543;99556;3,7;19,2;2,3;5,7;2;8,1;0;
1,49;5,06254598969831;-0,0706401766004415;-0,0824135393671818;4,88549618320611;99536;99554;3,7;19,6;2,4;5,9;2;9,7;0;
1,5;4,98013245033113;-0,0235467255334805;-0,0824135393671818;4,88549618320611;99532;99552;3,7;20;2,5;6,1;2;10,4;0;
1,51;5,14495952906549;-0,0117733627667403;-0,117733627667403;4,88549618320611;99518;99549;3,7;20,4;2,6;6,3;2;13,6;0;
1,52;5,18027961736571;0,0235467255334805;-0,0824135393671818;5,12977099236641;99507;99546;3,7;20,8;2,8;6,5;2;16;0;
1,53;5,12141280353201;0,0353200883002208;-0,0588668138337013;5,12977099236641;99543;99545;3,4;21,3;2,8;6,7;2;6,4;0;
1,54;5,18027961736571;0,0353200883002208;-0,094186902133922;5,12977099236641;99519;99543;3,7;21,7;2,9;6,9;2;12,3;0;
1,55;5,22737306843267;0,0117733627667403;-0,0824135393671818;5,12977099236641;99526;99541;3,7;22,1;3;7,1;2;10,1;0;
1,56;5,26269315673289;-0,0117733627667403;-0,094186902133922;5,12977099236641;99523;99539;3,4;22,5;3,2;7,4;2;10,6;0;
1,57;5,25091979396615;0,0235467255334805;-0,0824135393671818;5,12977099236641;99533;99537;3,4;22,9;3,2;7,6;2;7,7;0;
1,58;5,29801324503311;-0,0235467255334805;-0,094186902133922;5,12977099236641;99514;99535;3,7;23,3;3,4;7,8;2;12,3;0;
1,59;5,28623988226637;-0,0117733627667403;-0,047093451066961;5,12977099236641;99533;99533;3,7;23,8;3,4;8;2;7,1;0;
1,6;5,36865342163355;0,0235467255334805;-0,0588668138337013;5,12977099236641;99492;99530;3,4;24,2;3,6;8,3;2;17,3;0;
1,61;5,30978660779985;-0,0117733627667403;-0,0588668138337013;5,12977099236641;99502;99527;3,7;24,6;3,7;8,5;2;14,3;0;
1,62;5,32155997056659;-0,0117733627667403;-0,0588668138337013;5,12977099236641;99519;99526;3,7;25,1;3,8;8,7;2;9,5;0;
1,63;5,34510669610007;-0,0117733627667403;-0,0706401766004415;5,12977099236641;99499;99523;3,4;25,5;4;9;2;14,3;0;
1,64;5,20382634289919;-0,0117733627667403;-0,0588668138337013;5,12977099236641;99521;99521;3,4;25,9;4,1;9,2;2;8,3;0;
1,65;5,38042678440029;-0,0117733627667403;-0,047093451066961;5,12977099236641;99485;99518;3,7;26,3;4,2;9,5;2;17,2;0;
1,66;5,28623988226637;-0,0235467255334805;-0,0353200883002208;5,37404580152672;99487;99515;3,4;26,8;4,4;9,8;2;16,1;0;
1,67;5,5570272259014;0,0353200883002208;-0,0588668138337013;5,37404580152672;99491;99512;3,7;27,2;4,5;10;2;14,7;0;
1,68;5,48638704930096;0;-0,0235467255334805;5,37404580152672;99501;99510;3,7;27,7;4,7;10,3;2;11,7;0;
1,69;5,34510669610007;-0,0353200883002208;-0,0588668138337013;5,37404580152672;99502;99508;3,4;28,1;4,8;10,6;2;11,1;0;
1,7;5,52170713760118;0;-0,094186902133922;5,37404580152672;99469;99505;3,4;28,5;5;10,8;2;19,1;0;
1,71;5,69830757910228;-0,0353200883002208;-0,094186902133922;5,61832061068702;99485;99502;3,4;29;5,1;11,1;2;14,5;0;
1,72;5,20382634289919;-0,047093451066961;-0,0706401766004415;5,37404580152672;99445;99498;3,4;29,4;5,4;11,4;2;24,2;0;
1,73;5,47461368653422;0,047093451066961;-0,094186902133922;5,37404580152672;99441;99493;3,4;29,9;5,6;11,7;2;24,5;0;
1,74;5,29801324503311;-0,0235467255334805;0;5,37404580152672;99462;99490;3,7;30,3;5,8;12;2;18,4;0;
1,75;5,25091979396615;0,0117733627667403;-0,0117733627667403;5,12977099236641;99422;99485;3,7;30,7;6,1;12,3;2;28;0;
1,76;5,46284032376748;-0,0235467255334805;-0,0117733627667403;5,37404580152672;99452;99481;3,4;31,1;6,3;12,6;2;19,5;0;
1,77;5,25091979396615;-0,0117733627667403;0;5,37404580152672;99437;99477;3,7;31,6;6,5;12,9;2;22,8;0;
1,78;5,38042678440029;0,0235467255334805;-0,0235467255334805;5,37404580152672;99443;99473;3,4;32;6,7;13,2;2;20,5;0;
1,79;5,45106696100074;-0,0117733627667403;0,0117733627667403;5,37404580152672;99440;99469;3,7;32,4;6,9;13,5;2;20,7;0;
1,8;5,36865342163355;0,047093451066961;-0,0353200883002208;5,37404580152672;99411;99464;3,7;32,9;7,2;13,8;2;27,4;0;
1,81;5,28623988226637;0,0353200883002208;0,0117733627667403;5,37404580152672;99432;99460;3,7;33,3;7,4;14,1;2;21,3;0;
1,82;5,39220014716703;-0,0353200883002208;-0,0353200883002208;5,37404580152672;99412;99456;3,7;33,7;7,6;14,5;2;25,7;0;
1,83;5,38042678440029;-0,0117733627667403;-0,0353200883002208;5,37404580152672;99458;99453;3,7;34,2;7,8;14,8;2;13,3;0;
1,84;5,32155997056659;0,0235467255334805;-0,0117733627667403;5,37404580152672;99431;99450;3,4;34,6;8;15,1;2;19,7;0;
1,85;5,36865342163355;0,0353200883002208;-0,0353200883002208;5,37404580152672;99424;99446;3,4;35;8,2;15,5;2;20,9;0;
1,86;5,36865342163355;0;-0,0353200883002208;5,37404580152672;99400;99441;3,7;35,5;8,5;15,8;2;26,4;0;
1,87;5,35688005886681;0,047093451066961;0;5,37404580152672;99414;99437;3,7;35,9;8,7;16,2;2;22;0;
1,88;5,35688005886681;-0,0117733627667403;-0,0117733627667403;5,37404580152672;99406;99433;3,9;36,3;8,9;16,5;2;23,4;0;
1,89;5,46284032376748;0;0;5,37404580152672;99414;99429;3,7;36,8;9,1;16,9;2;20,6;0;
1,9;5,439293598234;0,0588668138337013;0,047093451066961;5,37404580152672;99405;99425;3,7;37,2;9,3;17,2;2;22,3;0;
1,91;5,35688005886681;0,0353200883002208;0,0235467255334805;5,37404580152672;99400;99421;3,4;37,6;9,6;17,6;2;22,9;0;
1,92;5,47461368653422;0;0,047093451066961;5,37404580152672;99389;99416;3,4;38,1;9,8;17,9;2;25;0;
1,93;5,39220014716703;0,0117733627667403;0,047093451066961;5,37404580152672;99377;99412;3,7;38,5;10,1;18,3;2;27,3;0;
1,94;5,41574687270052;0;0,0353200883002208;5,37404580152672;99341;99405;3,4;38,9;10,4;18,7;2;35,6;0;
1,95;5,29801324503311;0,0353200883002208;0,0353200883002208;5,37404580152672;99371;99401;3,4;39,4;10,7;19,1;2;26,9;0;
1,96;5,34510669610007;0,0706401766004415;0,0117733627667403;5,37404580152672;99404;99398;3,7;39,8;10,9;19,4;2;17,8;0;
1,97;5,35688005886681;0,047093451066961;0;5,37404580152672;99369;99393;3,7;40,2;11,2;19,8;2;26,1;0;
1,98;5,32155997056659;0,0353200883002208;0,0353200883002208;5,37404580152672;99360;99388;3,7;40,7;11,4;20,2;2;27,6;0;
1,99;5,32155997056659;0,0353200883002208;0,0353200883002208;5,37404580152672;99381;99384;3,7;41,1;11,6;20,6;2;21,4;0;
2;5,42752023546726;0,0353200883002208;0,047093451066961;5,37404580152672;99387;99381;3,7;41,5;11,8;21;2;19,3;0;
2,01;5,48638704930096;-0,0235467255334805;0,094186902133922;5,37404580152672;99349;99376;3,4;42;12,1;21,4;2;28,3;0;
2,02;5,34510669610007;-0,0235467255334805;0,105960264900662;5,37404580152672;99318;99370;3,7;42,4;12,5;21,8;2;35,4;0;
